X,Y,Yaw,Timestamp
0.0101524,-2.97093e-07,-0.000825258,0.18
0.0112324,-1.18837e-06,-0.000825258,0.2
0.0130324,-2.67384e-06,-0.000825258,0.22
0.0155524,-4.75348e-06,-0.000825258,0.24
0.0187924,-7.42732e-06,-0.000825258,0.26
0.0227523,-2.32629e-05,-0.0207053,0.28
0.0274313,-0.000120157,-0.0207053,0.3
0.0328305,-0.000205378,-0.00978622,0.32
0.0389502,-0.000265268,-0.00978622,0.34
0.0457899,-0.000332205,-0.00978622,0.36
0.0533497,-0.000390127,-0.0160619,0.38
0.0616286,-0.000523113,-0.0160619,0.4
0.0706274,-0.000667664,-0.0160619,0.42
0.0803459,-0.000841537,-0.0181388,0.44
0.0907835,-0.00106074,-0.0276004,0.46
0.101939,-0.00136428,-0.026912,0.48
0.113815,-0.00167327,-0.0258789,0.5
0.126414,-0.00187409,-0.0140652,0.52
0.139732,-0.00205766,-0.0132597,0.54
0.153771,-0.0022403,0.0307131,0.56
0.168525,-0.00181092,0.0245519,0.58
0.184,-0.0014309,0.0245519,0.6
0.200191,-0.00196057,-0.0329427,0.62
0.217102,-0.00250174,-0.043221,0.64
0.234727,-0.00324409,-0.0391603,0.66
0.253076,-0.00385804,-0.0330601,0.68
0.272147,-0.00445085,-0.022439,0.7
0.291941,-0.00492493,-0.0267254,0.72
0.312457,-0.0049713,0.014164,0.74
0.333696,-0.00500185,-0.0087326,0.76
0.355655,-0.00500631,-0.00684657,0.78
0.378331,-0.00536722,-0.0238957,0.8
0.401699,-0.00656715,-0.0537465,0.82
0.425713,-0.00878591,-0.105083,0.84
0.450454,-0.0110039,-0.0928358,0.86
0.475936,-0.0129353,-0.0556903,0.88
0.502141,-0.0149113,-0.0709507,0.9
0.529095,-0.016472,-0.0501859,0.92
0.556791,-0.017429,-0.0104786,0.94
0.58522,-0.0171705,0.0241278,0.96
0.614372,-0.0164924,0.0334519,0.98
0.644172,-0.0144291,0.0728654,1
0.674685,-0.0121486,0.0910599,1.02
0.705794,-0.00853031,0.121715,1.04
0.737729,-0.00613378,0.0374553,1.06
0.770477,-0.00527524,0.0195765,1.08
0.803951,-0.00520031,0.0237169,1.1
0.83809,-0.00322103,0.068601,1.12
0.872967,-0.00156373,0.0312772,1.14
0.908597,-0.0020634,-0.0444078,1.16
0.944555,-0.00379915,-0.0536448,1.18
0.980402,-0.00700047,-0.148824,1.2
1.01589,-0.0130043,-0.198899,1.22
1.05114,-0.0203043,-0.206759,1.24
1.08636,-0.0277173,-0.19061,1.26
1.12176,-0.0342831,-0.164321,1.28
1.15731,-0.0399322,-0.155347,1.3
1.19272,-0.0464356,-0.154466,1.32
1.2283,-0.0518851,-0.145898,1.34
1.2637,-0.058401,-0.157206,1.36
1.29932,-0.0635942,-0.160761,1.38
1.33497,-0.0686077,-0.131256,1.4
1.37054,-0.0741578,-0.156464,1.42
1.40605,-0.0800659,-0.135574,1.44
1.44175,-0.0846298,-0.114336,1.46
1.47726,-0.0904929,-0.191636,1.48
1.51272,-0.0966723,-0.15235,1.5
1.54831,-0.102086,-0.165282,1.52
1.58393,-0.107278,-0.157025,1.54
1.61964,-0.111813,-0.113905,1.56
1.65558,-0.113779,-0.0315944,1.58
1.69157,-0.114287,-0.00742115,1.6
1.72754,-0.115655,-0.0705861,1.62
1.76349,-0.117406,-0.0389708,1.64
1.79948,-0.117661,0.009575,1.66
1.83548,-0.117235,0.000991735,1.68
1.87143,-0.115698,0.064422,1.7
1.9073,-0.112594,0.0934429,1.72
1.94286,-0.10719,0.191552,1.74
1.97817,-0.100172,0.190979,1.76
2.01357,-0.0936371,0.168502,1.78
2.04923,-0.0887321,0.130539,1.8
2.08487,-0.0836553,0.160774,1.82
2.1203,-0.0773351,0.180983,1.84
2.1556,-0.0702998,0.212518,1.86
2.19056,-0.0617042,0.264074,1.88
2.2251,-0.0515858,0.270059,1.9
2.25952,-0.0410394,0.298703,1.92
2.29378,-0.0300092,0.353125,1.94
2.32729,-0.016883,0.387857,1.96
2.36085,-0.00384401,0.369605,1.98
2.39493,0.00775046,0.319077,2
2.42934,0.01829,0.271739,2.02
2.4639,0.0283687,0.297809,2.04
2.4985,0.0383042,0.29337,2.06
2.53272,0.0494657,0.342184,2.08
2.56656,0.0617273,0.329773,2.1
2.60008,0.074833,0.380152,2.12
2.63351,0.0881811,0.329222,2.14
2.66773,0.0993609,0.311352,2.16
2.70225,0.109534,0.234819,2.18
2.73711,0.118507,0.268568,2.2
2.77215,0.12675,0.205129,2.22
2.8074,0.134042,0.228404,2.24
2.84257,0.141715,0.230458,2.26
2.8775,0.150419,0.25714,2.28
2.91179,0.161369,0.328343,2.3
2.94624,0.171791,0.265608,2.32
2.98095,0.181346,0.267937,2.34
3.01561,0.191049,0.273465,2.36
3.05012,0.201312,0.281323,2.38
3.08452,0.211901,0.304386,2.4
3.11912,0.221809,0.311574,2.42
3.15338,0.232849,0.335979,2.44
3.18721,0.245165,0.367529,2.46
3.22089,0.257884,0.349564,2.48
3.25446,0.270861,0.362408,2.5
3.28842,0.282797,0.328984,2.52
3.32214,0.295416,0.372681,2.54
3.35557,0.308757,0.379322,2.56
3.38933,0.321238,0.331975,2.58
3.42354,0.332441,0.305815,2.6
3.45793,0.343101,0.294463,2.62
3.49218,0.354157,0.305437,2.64
3.52663,0.364617,0.299207,2.66
3.56092,0.375571,0.3122,2.68
3.59505,0.387013,0.340211,2.7
3.62938,0.397808,0.298432,2.72
3.66376,0.408464,0.278505,2.74
3.69776,0.42029,0.33924,2.76
3.73177,0.432089,0.321511,2.78
3.76594,0.443406,0.285406,2.8
3.80064,0.452986,0.281689,2.82
3.83477,0.464417,0.31325,2.84
3.86901,0.475522,0.281717,2.86
3.90387,0.484365,0.245774,2.88
3.93802,0.493827,0.307257,2.9
3.97109,0.504423,0.317114,2.92
4.0031,0.51589,0.330364,2.94
4.03441,0.527179,0.351152,2.96
4.06522,0.537711,0.319291,2.98
4.09563,0.547124,0.255691,3
4.12564,0.555378,0.277534,3.02
4.15495,0.563428,0.258014,3.04
4.18351,0.571522,0.302784,3.06
4.21121,0.579995,0.310797,3.08
4.23804,0.588796,0.340283,3.1
4.26385,0.598369,0.36941,3.12
4.28868,0.608454,0.405926,3.14
4.31293,0.618047,0.35797,3.16
4.33655,0.627278,0.381845,3.18
4.3593,0.636744,0.391303,3.2
4.38105,0.646694,0.443719,3.22
4.40203,0.656602,0.434409,3.24
4.42251,0.665883,0.41297,3.26
4.44258,0.674296,0.38451,3.28
4.46187,0.6827,0.416816,3.3
4.48075,0.690198,0.361992,3.32
4.49908,0.697146,0.3623,3.34
4.51698,0.703163,0.321907,3.36
4.53425,0.708817,0.315111,3.38
4.55065,0.714738,0.381157,3.4
4.56616,0.720997,0.380222,3.42
4.58105,0.726854,0.375528,3.44
4.59528,0.732434,0.365829,3.46
4.60886,0.737688,0.379634,3.48
4.62172,0.742819,0.379634,3.5
4.63389,0.747745,0.362114,3.52
4.64548,0.75215,0.364778,3.54
4.6564,0.756318,0.364778,3.56
4.66648,0.76062,0.405523,3.58
4.67588,0.764693,0.411612,3.6
4.6846,0.768523,0.44475,3.62
4.69254,0.772323,0.446475,3.64
4.69984,0.775814,0.446475,3.66
4.7065,0.77894,0.438899,3.68
4.71252,0.781763,0.438899,3.7
4.71789,0.784251,0.429309,3.72
4.72263,0.786418,0.429309,3.74
4.72671,0.788268,0.423407,3.76
4.73014,0.789814,0.423407,3.78
4.73292,0.791065,0.423407,3.8
4.73504,0.79202,0.423407,3.82
4.7365,0.792679,0.423407,3.84
4.73731,0.793043,0.423407,3.86
4.73748,0.793121,0.423407,3.88
